Fighter,wins,losses,draws,nc
george roop,5,8,0,0
george sotiropoulos,7,4,0,0
george sullivan,3,4,0,0
georges st-pierre,20,2,0,0
gerald harris,3,1,0,0
gerald meerschaert,12,10,0,0
gerald strebendt,0,1,0,0
geraldo de freitas,1,2,0,0
germaine de randamie,7,3,0,0
gerry harris,0,1,0,0
geza kalman,1,1,0,0
gian villante,7,11,0,0
gideon ray,0,3,0,0
giga chikadze,7,2,0,0
gil castillo,1,2,0,0
gilbert aldana,0,2,0,0
gilbert burns,15,8,0,0
gilbert melendez,1,6,0,0
gilbert smith,0,1,0,0
gilbert urbina,1,2,0,0
gilbert yvel,0,3,0,0
gillian robertson,12,6,0,0
gina mazany,2,6,0,0
glaico franca moreira,1,2,0,0
gleison tibau,16,12,0,0
gloria de paula,1,3,0,0
glover teixeira,16,7,0,0
godofredo pepey,5,6,0,0
gokhan saki,1,1,0,0
goran reljic,1,3,0,0
grant dawson,10,1,1,0
gray maynard,11,7,1,1
greg hardy,4,5,0,1
greg soto,1,2,0,0
greg stott,0,1,0,0
gregor gillespie,7,1,0,0
gregory rodrigues,7,2,0,0
grigory popov,0,2,0,0
guangyou ning,2,2,0,0
guido cannetti,4,6,0,0
guilherme vasconcelos,0,1,0,0
gunnar nelson,10,5,0,0
guram kutateladze,2,2,0,0
gustavo lopez,1,2,1,0
guto inocente,0,2,0,0
guy mezger,4,1,0,0
hacran dias,3,5,0,0
hailey cowan,0,1,0,0
hakeem dawodu,6,4,0,0
hamdy abdelwahab,1,0,0,0
hannah cifers,2,5,0,0
hannah goldy,1,4,0,0
hans stringer,1,2,0,0
harold howard,1,2,0,0
harry hunsucker,0,3,0,0
harry moskowitz,0,2,0,0
hatsu hioki,3,5,0,0
hayato sakurai,0,1,0,0
hayder hassan,0,2,0,0
he-man gipson,0,1,0,0
heath herring,2,3,0,0
heather clark,1,2,0,0
hector aldana,0,3,0,0
hector lombard,3,8,0,1
hector ramirez,0,2,0,0
hector sandoval,2,2,0,0
hector urbina,1,2,0,0
henrique da silva,2,4,0,0
henry briones,1,4,0,0
henry cejudo,10,4,0,0
henry martinez,1,2,0,0
herbert burns,2,4,0,0
hermes franca,6,5,0,0
hernani perpetuo,0,2,0,0
holly holm,8,8,0,0
homer moore,0,1,0,0
