Fighter,wins,losses,draws,nc,total_matches
dong hyun kim,13,4,0,1,18
dong hyun ma,3,5,0,0,8
donghun choi,1,0,0,0,1
dongi yang,2,3,0,0,5
donnie chappell,0,1,0,0,1
donny walker,0,2,0,0,2
dooho choi,5,3,1,0,9
dorian price,0,1,0,0,1
doug evans,0,2,0,0,2
douglas silva de andrade,7,6,0,0,13
drakkar klose,9,3,0,0,12
drako rodriguez,0,2,0,0,2
drew dober,13,10,0,1,24
drew fickett,4,3,0,0,7
drew mcfedries,4,5,0,0,9
dricus du plessis,8,0,0,0,8
duane ludwig,4,5,0,0,9
duda santana,0,1,0,0,1
dusko todorovic,3,5,0,0,8
dustin hazelett,5,5,0,0,10
dustin jacoby,8,6,1,0,15
dustin kimura,2,3,0,0,5
dustin neace,0,1,0,0,1
dustin ortiz,8,6,0,0,14
dustin pague,1,5,0,0,6
dustin poirier,22,8,0,1,31
dustin stoltzfus,3,5,0,0,8
dwayne cason,1,1,0,0,2
dwight grant,3,5,0,0,8
dylan andrews,2,3,0,0,5
dylan budka,0,2,0,0,2
ebenezer fontes braga,1,0,0,0,1
ed herman,13,12,0,1,26
eddie alvarez,4,3,0,1,8
eddie gordon,1,3,0,0,4
eddie mendez,0,1,0,0,1
eddie ruiz,0,1,0,0,1
eddie sanchez,3,3,0,0,6
eddie wineland,6,10,0,0,16
eddie yagin,1,1,0,0,2
edgar chairez,1,2,0,1,4
edgar garcia,0,4,0,0,4
edilberto de oliveira,0,2,0,0,2
edimilson souza,3,1,0,0,4
edmen shahbazyan,6,5,0,0,11
ednaldo oliveira,0,2,0,0,2
edson barboza,18,12,0,0,30
eduarda moura,2,1,0,0,3
eduardo garagorri,1,2,0,0,3
edward faaloloto,0,2,0,0,2
edwin dewees,0,3,0,0,3
edwin figueroa,2,4,0,0,6
efrain escudero,5,7,0,0,12
eiji mitsuoka,0,2,0,0,2
eldo xavier dias,0,1,0,0,1
elias garcia,0,2,0,0,2
elias silverio,3,2,0,0,5
elias theodorou,8,3,0,0,11
eliot marshall,3,3,0,0,6
elise reed,4,4,0,0,8
elizabeth phillips,1,3,0,0,4
elizeu zaleski dos santos,11,4,1,0,16
elves brener,3,2,0,0,5
elvis mutapcic,0,2,1,0,3
elvis sinosic,1,6,0,0,7
emil meek,1,3,0,0,4
emily ducote,2,3,0,0,5
emily kagan,0,2,0,0,2
emily whitmire,2,4,0,0,6
emmanuel yarborough,0,1,0,0,1
enrique barzola,6,3,1,0,10
enrique marin,0,2,0,0,2
enson inoue,1,0,0,0,1
eric martin,0,1,0,0,1
eric schafer,3,6,0,0,9
eric shelton,2,4,0,0,6
eric spicely,2,5,0,0,7
eric wisely,0,2,0,0,2
erick gonzalez,0,3,0,0,3
erick montano,1,2,0,0,3
erick silva,7,8,0,0,15
ericka almeida,0,2,0,0,2
erik koch,5,5,0,0,10
erik perez,7,2,0,0,9
erik silva,0,2,0,0,2
erin blanchfield,6,1,0,0,7
ernest chavez,1,2,0,0,3
ernesta kareckaite,0,1,0,0,1
ernie verdicia,0,1,0,0,1
eryk anders,9,8,0,1,18
esteban ribovics,3,1,0,0,4
estevan payan,0,3,0,0,3
eugene jackson,3,4,0,0,7
eugenio tadeu,0,1,0,0,1
evan dunham,11,9,1,0,21
evan elder,2,2,0,0,4
evan tanner,11,6,0,0,17
fabiano iha,3,4,0,0,7
fabiano scherner,0,2,0,0,2
fabio cherant,0,3,0,0,3
fabio gurgel,0,1,0,0,1
fabio maldonado,5,6,0,0,11
fabricio camoes,1,4,1,0,6
fabricio werdum,12,6,0,0,18
falaniko vitale,1,1,0,0,2
fares ziam,6,2,0,0,8
farid basharat,3,0,0,0,3
fatima kline,0,1,0,0,1
felice herrig,5,5,0,0,10
felicia spencer,3,3,0,0,6
felipe arantes,5,6,1,0,12
felipe bunes,0,1,0,0,1
