name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
jordan williams,Bomaye,185.42,83.91,190.5,Southpaw,1990-10-13,0,3,0,0,3
kevin jackson,,177.8,90.26,,Switch,,2,2,0,0,4
edimilson souza,Kevin,182.88,65.77,187.96,Orthodox,1984-10-17,3,1,0,0,4
hans stringer,,190.5,92.99,,Orthodox,1987-07-06,1,2,0,0,3
tj o'brien,The Spider,187.96,70.31,,Orthodox,1987-01-01,0,2,0,0,2
michael morales,,182.88,77.11,200.66,Orthodox,1999-06-24,5,0,0,0,5
joseph sandoval,,170.18,61.23,,Southpaw,1986-05-11,0,2,0,0,2
duda santana,Cowboyzinha,170.18,65.77,185.42,Orthodox,1996-01-10,0,1,0,0,1
andre lima,Mascote,170.18,56.7,170.18,Orthodox,1999-02-04,3,0,0,0,3
anthony christodoulou,,175.26,70.31,,Orthodox,1987-07-30,0,2,0,0,2
mohammed usman,The Motor,187.96,108.41,200.66,Orthodox,1989-04-01,3,2,0,0,5
dwight grant,The Body Snatcher,185.42,83.91,193.04,Switch,1984-09-14,3,5,0,0,8
matt hobar,The Crowbar,177.8,61.23,177.8,Southpaw,1987-01-07,1,2,0,0,3
luke caudillo,Lil' Hulk,170.18,70.31,,Orthodox,1980-11-30,0,2,0,0,2
mark godbeer,The Hand Of,193.04,108.86,195.58,Orthodox,1983-11-22,2,2,0,0,4
jonathan wiezorek,,190.5,113.4,,Southpaw,1978-02-10,1,0,0,0,1
rex holman,Big Dog,190.5,92.99,,Southpaw,,0,1,0,0,1
maxim grishin,Maximus,190.5,92.99,198.12,Orthodox,1984-05-02,2,3,0,0,5
desmond green,The Predator,177.8,70.31,185.42,Southpaw,1989-10-11,4,3,0,0,7
andre roberts,The Chief,187.96,156.49,,Orthodox,1965-02-24,2,1,0,0,3
dorian price,,190.5,77.11,,Southpaw,1977-08-20,0,1,0,0,1
townsend saunders,,165.1,77.11,,Orthodox,,0,2,0,0,2
anton zafir,The Professor,180.34,77.11,,Orthodox,1987-05-10,0,2,0,0,2
juancamilo ronderos,100,160.02,56.7,162.56,Southpaw,1995-02-17,0,2,0,0,2
steve kennedy,The Steamrolla,180.34,77.11,,Orthodox,1983-03-07,0,2,0,0,2
justin willis,Big Pretty,185.42,119.75,198.12,Southpaw,1987-07-19,4,1,0,0,5
andreas michailidis,The Spartan,182.88,77.11,193.04,Orthodox,1988-07-18,1,3,0,0,4
curtis stout,,185.42,83.91,,Southpaw,1973-11-07,0,2,0,0,2
sergey khandozhko,Honda,185.42,77.11,187.96,Orthodox,1992-05-19,2,1,0,0,3
zach light,,172.72,77.11,,Orthodox,1974-02-06,0,1,0,0,1
oleg taktarov,The Russian Bear,182.88,95.25,,Orthodox,1967-08-26,6,2,0,0,8
saeed hosseini,,,,,,,0,1,0,0,1
jonny parsons,The Sluggernaut,175.26,77.11,175.26,Orthodox,1991-09-06,1,0,0,0,1
jc cottrell,,175.26,70.31,,Orthodox,1989-11-04,0,2,0,0,2
tom gallicchio,Da Tank,177.8,77.11,,Southpaw,1986-09-23,0,1,0,0,1
brad morris,,187.96,92.99,,Orthodox,1979-11-01,0,2,0,0,2
jason thacker,,177.8,83.91,,Orthodox,1975-08-18,0,1,0,0,1
jason day,Dooms,182.88,83.91,182.88,Orthodox,1981-05-19,1,2,0,0,3
matt van buren,Gutter,195.58,92.99,,,,0,2,0,0,2
