name,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
steven siler,180.34,65.77,177.8,Orthodox,1987-02-15,5,4,0,0,9
bryce mitchell,177.8,65.77,177.8,Southpaw,1994-10-04,8,2,0,0,10
marcus mcghee,172.72,61.23,175.26,Orthodox,1990-05-07,4,0,0,0,4
eiji mitsuoka,170.18,65.77,,Southpaw,1976-01-01,0,2,0,0,2
mayra bueno silva,167.64,61.23,167.64,Orthodox,1991-08-22,6,4,1,0,11
rafaello oliveira,172.72,70.31,180.34,Orthodox,1982-01-26,2,6,0,0,8
caio magalhaes,185.42,83.91,185.42,Orthodox,1987-12-14,4,3,0,0,7
justin james,177.8,70.31,,Orthodox,1976-11-08,0,1,0,0,1
jerrod sanders,172.72,61.23,182.88,Orthodox,1979-10-01,1,2,0,1,4
saimon oliveira,162.56,61.23,182.88,Orthodox,1991-04-21,0,2,0,0,2
fabricio camoes,177.8,70.31,180.34,Orthodox,1978-12-23,1,4,1,0,6
shavkat rakhmonov,185.42,77.11,195.58,Orthodox,1994-10-23,7,0,0,0,7
dileno lopes,165.1,61.23,,,,0,2,0,0,2
mike pyle,182.88,77.11,187.96,Orthodox,1975-09-18,10,9,0,0,19
matt veach,180.34,70.31,,Orthodox,1981-05-31,1,2,0,0,3
ryan spann,195.58,92.99,200.66,Orthodox,1991-08-24,8,4,0,0,12
godofredo pepey,170.18,65.77,185.42,Orthodox,1987-07-02,5,6,0,0,11
gerald meerschaert,185.42,83.91,195.58,Southpaw,1987-12-18,12,10,0,0,22
max rohskopf,185.42,70.31,180.34,Orthodox,1994-09-27,0,1,0,0,1
joe solecki,175.26,70.31,177.8,Orthodox,1993-08-27,5,3,0,0,8
javier vazquez,170.18,65.77,175.26,Southpaw,1977-07-16,1,0,0,0,1
chris indich,177.8,77.11,,,,0,2,0,0,2
gavin tucker,167.64,65.77,167.64,Southpaw,1986-06-17,4,3,0,0,7
mike malott,185.42,77.11,185.42,Orthodox,1991-11-07,4,1,0,0,5
oskar piechota,182.88,83.91,193.04,Southpaw,1990-01-24,2,3,0,1,6
jason von flue,182.88,77.11,,Orthodox,1975-08-01,1,2,0,0,3
tony desouza,182.88,77.11,177.8,Southpaw,1974-07-26,3,3,0,0,6
ilia topuria,170.18,65.77,175.26,Orthodox,1997-01-21,7,0,0,0,7
charles byrd,177.8,83.91,185.42,Orthodox,1983-10-11,1,3,0,0,4
teemu packalen,185.42,70.31,190.5,Orthodox,1987-05-22,1,3,0,0,4
rafael alves,172.72,70.31,172.72,Orthodox,1990-11-14,1,3,0,0,4
thiago tavares,170.18,65.77,177.8,Orthodox,1984-11-08,10,7,1,0,18
andre muniz,185.42,83.91,198.12,Southpaw,1990-02-17,6,2,0,0,8
matt wiman,177.8,70.31,172.72,Orthodox,1983-09-19,10,8,0,0,18
patrick walsh,180.34,83.91,,,,1,1,0,0,2
michihiro omigawa,167.64,65.77,172.72,Orthodox,1975-12-19,1,6,0,0,7
paul kelly,175.26,70.31,177.8,Orthodox,1984-09-12,5,4,0,0,9
grant dawson,177.8,70.31,182.88,Switch,1994-02-20,10,1,1,0,12
gadzhimurad antigulov,180.34,92.99,177.8,Orthodox,1987-02-09,2,4,0,0,6
said nurmagomedov,172.72,61.23,177.8,Orthodox,1992-04-05,6,2,0,0,8
brian bowles,170.18,61.23,177.8,Orthodox,1980-06-22,2,2,0,0,4
dokonjonosuke mishima,170.18,70.31,,Southpaw,1972-04-19,0,2,0,0,2
luke cummo,182.88,77.11,187.96,Orthodox,1980-04-27,3,4,0,0,7
terry etim,185.42,70.31,185.42,Orthodox,1986-01-11,6,5,0,0,11
bobby moffett,177.8,65.77,185.42,Orthodox,1990-06-01,0,2,0,1,3
josh barnett,190.5,113.4,198.12,Orthodox,1977-11-10,7,3,0,0,10
mackenzie dern,162.56,52.16,160.02,Orthodox,1993-03-24,9,5,0,0,14
colton smith,182.88,70.31,180.34,Orthodox,1987-08-14,1,3,0,0,4
tony kelley,175.26,61.23,177.8,Switch,1987-01-21,2,2,0,0,4
darrell montague,167.64,56.7,170.18,Southpaw,1987-11-03,0,3,0,0,3
rodolfo vieira,182.88,83.91,185.42,Orthodox,1989-09-25,5,2,0,0,7
carlos eduardo rocha,177.8,77.11,185.42,Orthodox,1981-07-12,1,2,0,0,3
tom lawlor,182.88,92.99,187.96,Southpaw,1983-05-15,6,5,0,0,11
michael mcdonald,175.26,61.23,177.8,Orthodox,1991-01-15,6,3,0,0,9
walel watson,180.34,61.23,190.5,Orthodox,1984-07-16,1,3,0,0,4
mike massenzio,187.96,83.91,185.42,Southpaw,1982-11-01,2,5,0,0,7
roan carneiro,180.34,77.11,193.04,Orthodox,1978-06-02,4,5,0,0,9
hector sandoval,157.48,56.7,162.56,Orthodox,1986-07-19,2,2,0,0,4
livinha souza,160.02,52.16,160.02,Orthodox,1991-03-11,3,3,0,0,6
nikita krylov,190.5,92.99,195.58,Orthodox,1992-03-07,11,7,0,0,18
robert mcdaniel,190.5,83.91,190.5,Southpaw,1983-05-03,1,2,0,0,3
jason dent,177.8,70.31,180.34,Orthodox,1980-06-12,1,3,0,0,4
yaotzin meza,175.26,65.77,180.34,Orthodox,1981-02-04,2,4,0,1,7
jimy hettes,175.26,65.77,180.34,Southpaw,1987-06-09,3,3,0,0,6
erick silva,182.88,77.11,187.96,Orthodox,1984-06-21,7,8,0,0,15
claudio puelles,177.8,70.31,182.88,Southpaw,1996-04-21,5,3,0,0,8
benoit saint denis,180.34,70.31,185.42,Southpaw,1995-12-18,5,3,0,0,8
roger zapata,180.34,77.11,,Southpaw,1986-05-09,0,1,0,0,1
elias garcia,165.1,56.7,170.18,Southpaw,1992-09-13,0,2,0,0,2
julija stoliarenko,170.18,56.7,167.64,Orthodox,1993-04-08,2,6,0,0,8
christian rodriguez,170.18,61.23,180.34,Orthodox,1997-12-17,4,2,0,0,6
josh fremd,193.04,83.91,193.04,Orthodox,1994-01-15,2,4,0,0,6
marcus davis,177.8,77.11,177.8,Southpaw,1973-08-24,9,6,0,0,15
chris fishgold,172.72,65.77,172.72,Orthodox,1992-06-06,1,3,0,0,4
mario bautista,175.26,61.23,175.26,Switch,1993-07-01,9,2,0,0,11
kenny florian,177.8,65.77,187.96,Southpaw,1976-05-26,12,5,0,0,17
muhammad mokaev,170.18,56.7,177.8,Orthodox,2000-07-30,6,0,0,0,6
