EVENT,BOUT,OUTCOME,ROUND,TIME,TIME FORMAT,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc fight night: royval vs. taira,alex morono vs. daniel rodriguez,W/L,3,300,3 Rnd (5-5-5),daniel rodriguez,alex morono,3.0,5,0.0,0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,cj vergara vs. ramazan temirov,L/W,1,170,3 Rnd (5-5-5),cj vergara,ramazan temirov,3.0,5,0.0,0,0,0,flyweight,0,1,0,1,2024-10-12,"las vegas, nevada, usa",170
ufc fight night: royval vs. taira,jonathan pearce vs. pat sabatini,L/W,1,246,3 Rnd (5-5-5),jonathan pearce,pat sabatini,3.0,5,0.0,0,0,0,featherweight,0,1,1,3,2024-10-12,"las vegas, nevada, usa",246
ufc fight night: royval vs. taira,niko price vs. themba gorimbo,W/L,3,300,3 Rnd (5-5-5),themba gorimbo,niko price,3.0,5,0.0,0,0,0,welterweight,1,0,2,5,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,junior tafa vs. sean sharaf,W/L,2,135,3 Rnd (5-5-5),junior tafa,sean sharaf,3.0,5,0.0,0,0,0,heavyweight,1,0,0,8,2024-10-12,"las vegas, nevada, usa",435
ufc fight night: royval vs. taira,cory mckenna vs. julia polastri,W/L,3,300,3 Rnd (5-5-5),julia polastri,cory mckenna,3.0,5,0.0,0,1,0,strawweight,1,0,2,0,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,cody haddon vs. dan argueta,L/W,3,300,3 Rnd (5-5-5),dan argueta,cody haddon,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,2024-10-12,"las vegas, nevada, usa",900
ufc fight night: royval vs. taira,clayton carpenter vs. lucas rocha,W/L,2,132,3 Rnd (5-5-5),clayton carpenter,lucas rocha,3.0,5,0.0,0,0,0,flyweight,1,0,1,1,2024-10-12,"las vegas, nevada, usa",432
ufc 307: pereira vs. rountree jr.,alex pereira vs. khalil rountree jr.,W/L,4,272,5 Rnd (5-5-5-5-5),alex pereira,khalil rountree jr.,5.0,5,0.0,0,0,1,light heavyweight,1,0,0,7,2024-10-05,"salt lake city, utah, usa",1172
ufc 307: pereira vs. rountree jr.,julianna pena vs. raquel pennington,L/W,5,300,5 Rnd (5-5-5-5-5),raquel pennington,julianna pena,5.0,5,0.0,0,1,1,bantamweight,0,1,2,2,2024-10-05,"salt lake city, utah, usa",1500
