EVENT,BOUT,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc 307: pereira vs. rountree jr.,alex pereira vs. khalil rountree jr.,4,272,alex pereira,khalil rountree jr.,5.0,5.0,0.0,0.0,0,1,light heavyweight,1,0,0,7,2024-10-05,"salt lake city, utah, usa",1172.0
ufc 307: pereira vs. rountree jr.,raquel pennington vs. julianna pena,5,300,raquel pennington,julianna pena,5.0,5.0,0.0,0.0,1,1,bantamweight,0,1,2,2,2024-10-05,"salt lake city, utah, usa",1500.0
ufc 307: pereira vs. rountree jr.,jose aldo vs. mario bautista,3,300,jose aldo,mario bautista,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,roman dolidze vs. kevin holland,1,300,roman dolidze,kevin holland,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,0,6,2024-10-05,"salt lake city, utah, usa",300.0
ufc 307: pereira vs. rountree jr.,ketlen vieira vs. kayla harrison,3,300,ketlen vieira,kayla harrison,3.0,5.0,0.0,0.0,1,0,bantamweight,0,1,2,2,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,stephen thompson vs. joaquin buckley,3,137,stephen thompson,joaquin buckley,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-10-05,"salt lake city, utah, usa",737.0
ufc 307: pereira vs. rountree jr.,marina rodriguez vs. iasmin lucindo,3,300,marina rodriguez,iasmin lucindo,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,austin hubbard vs. alexander hernandez,3,300,austin hubbard,alexander hernandez,3.0,5.0,0.0,0.0,0,0,lightweight,0,1,2,4,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,cesar almeida vs. ihor potieria,3,300,cesar almeida,ihor potieria,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,2,6,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,ryan spann vs. ovince saint preux,1,95,ryan spann,ovince saint preux,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,1,7,2024-10-05,"salt lake city, utah, usa",95.0
ufc 307: pereira vs. rountree jr.,carla esparza vs. tecia pennington,3,300,carla esparza,tecia pennington,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-10-05,"salt lake city, utah, usa",900.0
ufc 307: pereira vs. rountree jr.,court mcgee vs. tim means,1,199,court mcgee,tim means,3.0,5.0,0.0,0.0,0,0,welterweight,1,0,1,5,2024-10-05,"salt lake city, utah, usa",199.0
ufc fight night: moicano vs. saint denis,renato moicano vs. benoit saint denis,2,300,renato moicano,benoit saint denis,5.0,5.0,0.0,0.0,0,0,lightweight,1,0,0,4,2024-09-28,"paris, ile-de-france, france",600.0
ufc fight night: moicano vs. saint denis,nassourdine imavov vs. brendan allen,3,300,nassourdine imavov,brendan allen,3.0,5.0,0.0,0.0,0,0,middleweight,1,0,2,6,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,william gomis vs. joanderson brito,3,300,william gomis,joanderson brito,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,2,3,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,kevin jousset vs. bryan battle,2,227,kevin jousset,bryan battle,3.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-09-28,"paris, ile-de-france, france",527.0
ufc fight night: moicano vs. saint denis,morgan charriere vs. gabriel miranda,2,27,morgan charriere,gabriel miranda,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,0,3,2024-09-28,"paris, ile-de-france, france",327.0
ufc fight night: moicano vs. saint denis,fares ziam vs. matt frevola,3,179,fares ziam,matt frevola,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,0,4,2024-09-28,"paris, ile-de-france, france",779.0
ufc fight night: moicano vs. saint denis,ion cutelaba vs. ivan erslan,3,300,ion cutelaba,ivan erslan,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,2,7,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,oumar sy vs. da woon jung,3,300,oumar sy,da woon jung,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,2,7,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,ludovit klein vs. roosevelt roberts,3,300,ludovit klein,roosevelt roberts,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,2,4,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,taylor lapilus vs. vince morales,3,300,taylor lapilus,vince morales,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,ailin perez vs. daria zhelezniakova,1,232,ailin perez,daria zhelezniakova,3.0,5.0,0.0,0.0,1,0,bantamweight,1,0,1,2,2024-09-28,"paris, ile-de-france, france",232.0
ufc fight night: moicano vs. saint denis,daniel barez vs. victor altamirano,3,300,daniel barez,victor altamirano,3.0,5.0,0.0,0.0,0,0,flyweight,1,0,2,1,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,nora cornolle vs. jacqueline cavalcanti,3,300,nora cornolle,jacqueline cavalcanti,3.0,5.0,0.0,0.0,1,0,bantamweight,0,1,2,2,2024-09-28,"paris, ile-de-france, france",900.0
ufc fight night: moicano vs. saint denis,bolaji oki vs. chris duncan,1,214,bolaji oki,chris duncan,3.0,5.0,0.0,0.0,0,0,lightweight,0,1,1,4,2024-09-28,"paris, ile-de-france, france",214.0
